date,quarter,department,day,team,targeted_productivity,smv,wip,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,Quarter1,sweing,Thursday,8,0.8,26.16,1108.0,7080,98,0.0,0,0,59.0,0.940725424
1/1/2015,Quarter1,finishing ,Thursday,1,0.75,3.94,,960,0,0.0,0,0,8.0,0.8865
1/1/2015,Quarter1,sweing,Thursday,11,0.8,11.41,968.0,3660,50,0.0,0,0,30.5,0.8005704920000001
1/1/2015,Quarter1,sweing,Thursday,6,0.8,25.9,1170.0,1920,50,0.0,0,0,56.0,0.8003819440000001
1/1/2015,Quarter1,sweing,Thursday,7,0.8,25.9,984.0,6720,38,0.0,0,0,56.0,0.800125
1/1/2015,Quarter1,finishing ,Thursday,2,0.75,3.94,,960,0,0.0,0,0,8.0,0.755166667
1/1/2015,Quarter1,sweing,Thursday,10,0.75,19.31,578.0,6480,45,0.0,0,0,54.0,0.712205247
1/1/2015,Quarter1,finishing ,Thursday,8,0.75,2.9,,960,0,0.0,0,0,8.0,0.676666667
1/1/2015,Quarter1,finishing ,Thursday,4,0.75,3.94,,2160,0,0.0,0,0,18.0,0.593055556
1/1/2015,Quarter1,finishing ,Thursday,7,0.8,2.9,,960,0,0.0,0,0,8.0,0.5407291670000001
1/3/2015,Quarter1,finishing ,Saturday,4,0.8,4.15,,6600,0,0.0,0,0,20.0,0.9880246909999999
1/3/2015,Quarter1,finishing ,Saturday,11,0.75,2.9,,5640,0,0.0,0,0,17.0,0.987880435
1/3/2015,Quarter1,sweing,Saturday,1,0.8,28.08,772.0,6300,50,0.0,0,0,56.5,0.800725314
1/3/2015,Quarter1,sweing,Saturday,3,0.8,28.08,913.0,6540,50,0.0,0,0,54.5,0.8003229359999999
1/3/2015,Quarter1,sweing,Saturday,11,0.8,11.61,1005.0,7080,50,0.0,0,0,29.5,0.8002372879999999
1/3/2015,Quarter1,finishing ,Saturday,2,0.8,4.15,,960,0,0.0,0,0,8.0,0.782447917
1/3/2015,Quarter1,sweing,Saturday,2,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303
1/3/2015,Quarter1,sweing,Saturday,4,0.7,23.69,544.0,13800,0,0.0,0,0,60.0,0.700134038
1/3/2015,Quarter1,finishing ,Saturday,8,0.8,2.9,,960,0,0.0,0,0,8.0,0.6283333329999999
1/3/2015,Quarter1,finishing ,Saturday,7,0.8,3.94,,960,0,0.0,0,0,8.0,0.6253125
1/4/2015,Quarter1,finishing ,Sunday,3,0.75,4.15,,1560,0,0.0,0,0,8.0,0.9913888890000001
1/4/2015,Quarter1,finishing ,Sunday,1,0.8,3.94,,960,0,0.0,0,0,8.0,0.915229167
1/4/2015,Quarter1,sweing,Sunday,6,0.8,11.61,539.0,6975,50,0.0,0,0,31.0,0.879714482
1/4/2015,Quarter1,finishing ,Sunday,4,0.8,3.94,,6600,0,0.0,0,0,20.0,0.8616790120000001
1/4/2015,Quarter1,sweing,Sunday,2,0.8,28.08,782.0,6660,50,0.0,0,0,55.5,0.8002378379999999
1/4/2015,Quarter1,finishing ,Sunday,2,0.8,3.94,,960,0,0.0,0,0,8.0,0.7921041670000001
1/4/2015,Quarter1,finishing ,Sunday,10,0.7,3.94,,4320,0,0.0,0,0,18.0,0.759228395
1/4/2015,Quarter1,sweing,Sunday,11,0.75,19.31,513.0,6480,45,0.0,0,0,54.0,0.7503484570000001
1/4/2015,Quarter1,sweing,Sunday,3,0.75,19.87,734.0,6600,45,0.0,0,0,55.0,0.75024303
1/4/2015,Quarter1,finishing ,Sunday,8,0.8,2.9,,960,0,0.0,0,0,8.0,0.682708333
1/4/2015,Quarter1,finishing ,Sunday,11,0.75,4.15,,960,0,0.0,0,0,8.0,0.34583333299999997
1/5/2015,Quarter1,finishing ,Monday,1,0.8,3.94,,1920,0,0.0,0,0,8.0,0.961059028
1/5/2015,Quarter1,finishing ,Monday,11,0.8,3.94,,2400,0,0.0,0,0,10.0,0.9395138890000001
1/5/2015,Quarter1,finishing ,Monday,3,0.75,4.15,,1920,0,0.0,0,0,8.0,0.875390625
1/5/2015,Quarter1,finishing ,Monday,9,0.8,2.9,,1920,0,0.0,0,0,8.0,0.8208333329999999
1/5/2015,Quarter1,sweing,Monday,11,0.8,19.31,678.0,4800,50,0.0,0,0,55.0,0.800250962
1/5/2015,Quarter1,sweing,Monday,6,0.8,11.61,712.0,7200,50,0.0,0,0,32.0,0.8002460109999999
1/5/2015,Quarter1,sweing,Monday,12,0.8,11.61,1037.0,7200,50,0.0,0,0,32.0,0.8002460109999999
1/5/2015,Quarter1,finishing ,Monday,5,0.6,2.9,,960,0,0.0,0,0,8.0,0.759270833
1/5/2015,Quarter1,sweing,Monday,3,0.75,19.87,944.0,6600,45,0.0,0,0,55.0,0.75024303
1/6/2015,Quarter1,finishing ,Tuesday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.936496212
1/6/2015,Quarter1,finishing ,Tuesday,3,0.75,4.15,,1800,0,0.0,0,0,10.0,0.899166667
1/6/2015,Quarter1,finishing ,Tuesday,11,0.8,4.15,,2700,0,0.0,0,0,15.0,0.888686869
1/6/2015,Quarter1,sweing,Tuesday,9,0.8,26.16,1305.0,10620,75,0.0,0,0,59.0,0.850502311
1/6/2015,Quarter1,finishing ,Tuesday,10,0.75,3.94,,1440,0,0.0,0,0,8.0,0.8096401520000001
1/6/2015,Quarter1,finishing ,Tuesday,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.805909091
1/6/2015,Quarter1,sweing,Tuesday,3,0.8,19.87,963.0,9900,50,0.0,0,0,55.0,0.8002738290000001
1/6/2015,Quarter1,sweing,Tuesday,12,0.8,11.61,1101.0,5310,50,0.0,0,0,31.5,0.8001409690000001
1/6/2015,Quarter1,sweing,Tuesday,11,0.75,19.31,590.0,9900,45,0.0,0,0,55.0,0.7500578509999999
1/6/2015,Quarter1,sweing,Tuesday,5,0.65,21.98,808.0,10440,35,0.0,0,0,58.0,0.649983281
1/6/2015,Quarter1,finishing ,Tuesday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.61625
1/7/2015,Quarter1,finishing ,Wednesday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.951420455
1/7/2015,Quarter1,finishing ,Wednesday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.880530303
1/7/2015,Quarter1,finishing ,Wednesday,3,0.75,4.15,,2700,0,0.0,0,0,15.0,0.83
1/7/2015,Quarter1,sweing,Wednesday,2,0.8,28.08,776.0,10350,63,0.0,0,0,57.5,0.800594466
1/7/2015,Quarter1,sweing,Wednesday,4,0.8,28.08,990.0,10350,50,0.0,0,0,57.5,0.800594466
1/7/2015,Quarter1,sweing,Wednesday,6,0.8,11.41,986.0,5490,50,0.0,0,0,30.5,0.8003437659999999
1/7/2015,Quarter1,sweing,Wednesday,12,0.8,11.61,1120.0,5670,50,0.0,0,0,31.5,0.8002467529999999
1/7/2015,Quarter1,sweing,Wednesday,7,0.8,25.9,1066.0,10170,50,0.0,0,0,56.5,0.800128721
1/7/2015,Quarter1,sweing,Wednesday,10,0.75,28.08,1144.0,10530,69,0.0,0,0,58.5,0.8
1/7/2015,Quarter1,finishing ,Wednesday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606
1/7/2015,Quarter1,finishing ,Wednesday,6,0.8,2.9,,1800,0,0.0,0,0,10.0,0.666515152
1/7/2015,Quarter1,sweing,Wednesday,11,0.8,31.83,568.0,9900,40,0.0,0,0,55.0,0.412119835
1/8/2015,Quarter2,finishing ,Thursday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.9476893940000001
1/8/2015,Quarter2,finishing ,Thursday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.891723485
1/8/2015,Quarter2,sweing,Thursday,1,0.8,26.16,1189.0,10620,75,0.0,0,0,59.0,0.850502311
1/8/2015,Quarter2,sweing,Thursday,7,0.8,25.9,1050.0,10170,60,0.0,0,0,56.5,0.850136766
1/8/2015,Quarter2,sweing,Thursday,3,0.8,19.87,857.0,9900,50,0.0,0,0,55.0,0.8002738290000001
1/8/2015,Quarter2,sweing,Thursday,12,0.8,11.61,548.0,15120,63,0.0,0,0,31.5,0.800107143
1/8/2015,Quarter2,sweing,Thursday,6,0.8,11.41,411.0,14640,50,0.0,0,0,30.5,0.800024932
1/8/2015,Quarter2,sweing,Thursday,10,0.75,28.08,1066.0,10530,69,0.0,0,0,58.5,0.8
1/8/2015,Quarter2,finishing ,Thursday,10,0.75,3.94,,1440,0,0.0,0,0,8.0,0.779791667
1/8/2015,Quarter2,finishing ,Thursday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.735984848
1/8/2015,Quarter2,finishing ,Thursday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606
1/10/2015,Quarter2,finishing ,Saturday,1,0.8,3.94,,2160,0,0.0,0,0,8.0,0.985
1/10/2015,Quarter2,finishing ,Saturday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.8581439390000001
1/10/2015,Quarter2,sweing,Saturday,9,0.8,26.16,1122.0,10620,75,0.0,0,0,59.0,0.8511741140000001
1/10/2015,Quarter2,sweing,Saturday,7,0.8,25.9,970.0,10170,60,0.0,0,0,56.5,0.850136766
1/10/2015,Quarter2,sweing,Saturday,8,0.8,25.9,1158.0,10170,60,0.0,0,0,56.5,0.850136766
1/10/2015,Quarter2,finishing ,Saturday,10,0.8,3.94,,1440,0,0.0,0,0,8.0,0.846950758
1/10/2015,Quarter2,finishing ,Saturday,11,0.8,4.15,,1440,0,0.0,0,0,8.0,0.8174242420000001
1/10/2015,Quarter2,sweing,Saturday,4,0.8,28.08,660.0,10440,63,0.0,0,0,58.0,0.8010282129999999
1/10/2015,Quarter2,sweing,Saturday,12,0.8,11.61,893.0,4710,50,0.0,0,0,31.5,0.800346445
1/10/2015,Quarter2,sweing,Saturday,1,0.8,26.16,1335.0,10620,63,0.0,0,0,59.0,0.8001171029999999
1/10/2015,Quarter2,sweing,Saturday,10,0.8,28.08,1082.0,10530,63,0.0,0,0,58.5,0.8
1/10/2015,Quarter2,sweing,Saturday,3,0.75,19.87,1075.0,7080,45,0.0,0,0,56.0,0.7500983509999999
1/10/2015,Quarter2,finishing ,Saturday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.628882576
1/11/2015,Quarter2,finishing ,Sunday,3,0.75,4.15,,1440,0,0.0,0,0,8.0,0.93532197
1/11/2015,Quarter2,finishing ,Sunday,4,0.8,3.94,,3600,0,0.0,0,0,20.0,0.9256439390000001
1/11/2015,Quarter2,finishing ,Sunday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.873068182
1/11/2015,Quarter2,finishing ,Sunday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.8581439390000001
1/11/2015,Quarter2,sweing,Sunday,1,0.8,26.16,1383.0,10620,75,0.0,0,0,59.0,0.850502311
1/11/2015,Quarter2,sweing,Sunday,7,0.8,25.9,1012.0,10170,45,0.0,0,0,56.5,0.850136766
1/11/2015,Quarter2,finishing ,Sunday,2,0.8,3.94,,1440,0,0.0,0,0,8.0,0.8208333329999999
1/11/2015,Quarter2,sweing,Sunday,12,0.8,11.61,896.0,5670,50,0.0,0,0,31.5,0.8002467529999999
1/11/2015,Quarter2,sweing,Sunday,10,0.8,28.08,762.0,10530,38,0.0,0,0,58.5,0.8
1/11/2015,Quarter2,sweing,Sunday,3,0.8,19.87,1043.0,6420,0,0.0,0,0,55.0,0.690182815
1/11/2015,Quarter2,sweing,Sunday,11,0.6,12.52,831.0,9540,30,0.0,0,0,53.0,0.6002298460000001
1/11/2015,Quarter2,finishing ,Sunday,6,0.8,2.9,,1440,0,0.0,0,0,8.0,0.597348485
1/11/2015,Quarter2,sweing,Sunday,4,0.8,50.48,562.0,10440,0,0.0,0,0,58.0,0.473134796
1/11/2015,Quarter2,sweing,Sunday,5,0.6,20.79,1208.0,7980,0,0.0,0,0,57.0,0.452979626
1/12/2015,Quarter2,finishing ,Monday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.955151515
1/12/2015,Quarter2,finishing ,Monday,4,0.35,4.3,,3240,0,0.0,0,0,18.0,0.942213805
1/12/2015,Quarter2,finishing ,Monday,3,0.8,4.15,,1800,0,0.0,0,0,10.0,0.905454545
1/12/2015,Quarter2,finishing ,Monday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.8581439390000001
1/12/2015,Quarter2,sweing,Monday,1,0.8,26.16,1099.0,8220,75,0.0,0,0,59.0,0.850522167
1/12/2015,Quarter2,sweing,Monday,9,0.8,26.16,1093.0,10620,75,0.0,0,0,59.0,0.850502311
1/12/2015,Quarter2,sweing,Monday,8,0.8,25.9,1233.0,10170,60,0.0,0,0,56.5,0.850136766
1/12/2015,Quarter2,finishing ,Monday,6,0.8,2.9,,1440,0,0.0,0,0,8.0,0.8174242420000001
1/12/2015,Quarter2,finishing ,Monday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.725
1/12/2015,Quarter2,sweing,Monday,10,0.8,50.48,381.0,6930,45,0.0,0,0,58.5,0.688557555
1/12/2015,Quarter2,sweing,Monday,5,0.65,20.79,1141.0,8460,0,0.0,0,0,59.0,0.650040783
1/12/2015,Quarter2,finishing ,Monday,11,0.8,4.15,,1440,0,0.0,0,0,8.0,0.640577652
1/13/2015,Quarter2,finishing ,Tuesday,1,0.8,3.94,,1440,0,0.0,0,0,2.0,0.951420455
1/13/2015,Quarter2,finishing ,Tuesday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.8581439390000001
1/13/2015,Quarter2,sweing,Tuesday,12,0.8,11.61,1063.0,5670,50,0.0,0,0,31.5,0.8002467529999999
1/13/2015,Quarter2,sweing,Tuesday,2,0.8,28.08,723.0,10530,50,0.0,0,0,58.5,0.8
1/13/2015,Quarter2,finishing ,Tuesday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.681060606
1/13/2015,Quarter2,finishing ,Tuesday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.670075758
1/13/2015,Quarter2,sweing,Tuesday,5,0.7,20.79,1297.0,10440,0,0.0,0,0,58.0,0.526810345
1/13/2015,Quarter2,sweing,Tuesday,4,0.5,22.4,783.0,10170,23,0.0,0,0,56.5,0.500380799
1/14/2015,Quarter2,finishing ,Wednesday,4,0.35,4.3,,2700,0,0.0,0,0,8.0,0.908080808
1/14/2015,Quarter2,sweing,Wednesday,7,0.8,25.9,1150.0,10170,70,0.0,0,0,56.5,0.900144811
1/14/2015,Quarter2,finishing ,Wednesday,5,0.65,4.15,,1440,0,0.0,0,0,15.0,0.864583333
1/14/2015,Quarter2,finishing ,Wednesday,9,0.8,3.94,,1440,0,0.0,0,0,8.0,0.8581439390000001
1/14/2015,Quarter2,sweing,Wednesday,8,0.8,25.9,1218.0,10170,60,0.0,0,0,56.5,0.850136766
1/14/2015,Quarter2,sweing,Wednesday,12,0.8,11.61,1159.0,2970,50,0.0,0,0,31.5,0.800313433
1/14/2015,Quarter2,sweing,Wednesday,1,0.8,26.16,1092.0,10620,63,0.0,0,0,59.0,0.8001171029999999
1/14/2015,Quarter2,finishing ,Wednesday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.667329545
1/14/2015,Quarter2,sweing,Wednesday,10,0.5,22.4,947.0,3390,23,0.0,0,0,56.5,0.49998033399999997
1/15/2015,Quarter3,finishing ,Thursday,10,0.8,3.94,,3420,0,0.0,0,0,19.0,0.953110048
1/15/2015,Quarter3,finishing ,Thursday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.8842613640000001
1/15/2015,Quarter3,sweing,Thursday,8,0.8,25.9,1177.0,8970,60,0.0,0,0,56.5,0.8504156279999999
1/15/2015,Quarter3,sweing,Thursday,7,0.8,25.9,1281.0,10170,60,0.0,0,0,56.5,0.850136766
1/15/2015,Quarter3,sweing,Thursday,9,0.8,26.16,1369.0,10620,63,0.0,0,0,59.0,0.8001171029999999
1/15/2015,Quarter3,sweing,Thursday,12,0.8,11.61,1216.0,4950,50,0.0,0,0,31.5,0.80003139
1/15/2015,Quarter3,sweing,Thursday,5,0.7,20.79,391.0,10440,0,0.0,0,0,58.0,0.700060345
1/15/2015,Quarter3,sweing,Thursday,4,0.65,22.52,872.0,10080,26,0.0,0,0,56.0,0.650130952
1/15/2015,Quarter3,finishing ,Thursday,8,0.8,2.9,,1440,0,0.0,0,0,8.0,0.606912879
1/15/2015,Quarter3,sweing,Thursday,10,0.6,22.52,1076.0,10170,23,0.0,0,0,56.5,0.600291767
1/17/2015,Quarter3,finishing ,Saturday,10,0.8,3.94,,1440,0,0.0,0,0,8.0,0.9746212120000001
1/17/2015,Quarter3,finishing ,Saturday,1,0.8,3.94,,1440,0,0.0,0,0,8.0,0.8842613640000001
1/17/2015,Quarter3,sweing,Saturday,12,0.8,11.61,1039.0,5670,63,0.0,0,0,31.5,0.8002467529999999
1/17/2015,Quarter3,sweing,Saturday,8,0.8,25.9,1292.0,10170,50,0.0,0,0,56.5,0.800128721
1/17/2015,Quarter3,sweing,Saturday,1,0.8,48.68,171.0,10620,63,0.0,0,0,59.0,0.8001171029999999
1/17/2015,Quarter3,sweing,Saturday,4,0.7,22.52,825.0,10170,50,0.0,0,0,56.5,0.7005416999999999
1/17/2015,Quarter3,finishing ,Saturday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.661837121
1/17/2015,Quarter3,sweing,Saturday,5,0.7,41.19,1052.0,10440,21,0.0,0,0,58.0,0.452012539
1/18/2015,Quarter3,finishing ,Sunday,11,0.65,4.15,,2160,0,0.0,0,0,12.0,0.8383838379999999
1/18/2015,Quarter3,sweing,Sunday,6,0.8,11.41,1140.0,5490,63,0.0,0,0,30.5,0.8003437659999999
1/18/2015,Quarter3,sweing,Sunday,7,0.8,48.84,624.0,10170,50,0.0,0,0,56.5,0.800128721
1/18/2015,Quarter3,sweing,Sunday,8,0.8,25.9,1288.0,10170,38,0.0,0,0,56.5,0.800128721
1/18/2015,Quarter3,sweing,Sunday,4,0.7,22.52,882.0,10170,50,0.0,0,0,56.5,0.7005416999999999
1/18/2015,Quarter3,sweing,Sunday,10,0.7,22.52,1002.0,10080,40,0.0,0,0,56.0,0.7000941559999999
1/18/2015,Quarter3,finishing ,Sunday,7,0.8,2.9,,1440,0,0.0,0,0,8.0,0.692045455
1/18/2015,Quarter3,sweing,Sunday,12,0.8,26.87,585.0,5670,56,0.0,0,0,31.5,0.662255892
1/18/2015,Quarter3,sweing,Sunday,3,0.65,22.52,1138.0,10170,35,0.0,0,0,56.5,0.650416734
1/18/2015,Quarter3,sweing,Sunday,11,0.65,14.89,1140.0,10260,44,0.0,0,0,57.0,0.650299575
1/18/2015,Quarter3,sweing,Sunday,5,0.6,20.4,1031.0,10440,30,0.0,0,0,58.0,0.6000626960000001
1/18/2015,Quarter3,finishing ,Sunday,9,0.8,3.94,,1800,0,0.0,0,0,10.0,0.582045455
1/18/2015,Quarter3,sweing,Sunday,1,0.8,49.1,1381.0,10350,24,0.0,0,0,57.5,0.403242161
1/19/2015,Quarter3,finishing ,Monday,4,0.7,4.3,,5040,0,0.0,0,0,28.0,0.977272727
1/19/2015,Quarter3,finishing ,Monday,9,0.8,3.94,,1800,0,0.0,0,0,10.0,0.964106061
1/19/2015,Quarter3,finishing ,Monday,5,0.65,4.15,,1440,0,0.0,0,0,8.0,0.958901515
1/19/2015,Quarter3,sweing,Monday,6,0.8,11.41,1028.0,4380,50,0.0,0,0,31.0,0.800358775
1/19/2015,Quarter3,sweing,Monday,9,0.8,26.16,1196.0,10620,63,0.0,0,0,59.0,0.8001171029999999
1/19/2015,Quarter3,sweing,Monday,4,0.7,22.52,930.0,10260,63,0.0,0,0,57.0,0.750068049
1/19/2015,Quarter3,sweing,Monday,10,0.7,22.52,938.0,10080,63,0.0,0,0,56.0,0.750057359
1/19/2015,Quarter3,sweing,Monday,7,0.8,48.84,1040.0,10260,30,0.0,0,0,57.0,0.576460393
1/19/2015,Quarter3,sweing,Monday,1,0.5,22.94,1492.0,10170,30,0.0,0,0,56.5,0.549969429
1/19/2015,Quarter3,finishing ,Monday,11,0.7,4.15,,1440,0,0.0,0,0,8.0,0.409545455
1/19/2015,Quarter3,sweing,Monday,12,0.35,15.26,1111.0,6120,23,0.0,0,0,34.0,0.35021836
1/20/2015,Quarter3,finishing ,Tuesday,5,0.7,4.15,,1440,0,0.0,0,0,8.0,1.033570076
1/20/2015,Quarter3,sweing,Tuesday,8,0.8,25.9,1434.0,10170,50,0.0,0,0,56.5,0.800128721
1/20/2015,Quarter3,sweing,Tuesday,9,0.8,26.16,399.0,10620,63,0.0,0,0,59.0,0.8001171029999999
1/20/2015,Quarter3,sweing,Tuesday,4,0.7,22.52,983.0,10260,63,0.0,0,0,57.0,0.750068049
1/20/2015,Quarter3,finishing ,Tuesday,9,0.8,3.94,,1800,0,0.0,0,0,10.0,0.72830303
1/20/2015,Quarter3,sweing,Tuesday,11,0.7,14.89,1501.0,10260,50,0.0,0,0,57.0,0.700170388
1/20/2015,Quarter3,sweing,Tuesday,12,0.5,15.26,1352.0,3720,23,0.0,0,0,34.0,0.5002904189999999
1/20/2015,Quarter3,sweing,Tuesday,7,0.35,22.94,1450.0,10080,30,0.0,0,0,56.0,0.40033279200000005
1/21/2015,Quarter3,finishing ,Wednesday,4,0.75,4.3,,6000,0,0.0,0,0,20.0,0.978525641
1/21/2015,Quarter3,sweing,Wednesday,2,0.7,22.94,1422.0,10500,60,0.0,0,0,57.0,0.800415742
1/21/2015,Quarter3,finishing ,Wednesday,5,0.7,4.15,,2400,0,0.0,0,0,8.0,0.758173077
1/21/2015,Quarter3,sweing,Wednesday,3,0.7,22.52,1139.0,10260,63,0.0,0,0,57.0,0.750068049
1/21/2015,Quarter3,sweing,Wednesday,1,0.65,22.94,1595.0,10260,34,0.0,0,0,57.0,0.700029771
1/21/2015,Quarter3,finishing ,Wednesday,8,0.8,2.9,,2400,0,0.0,0,0,8.0,0.594871795
1/21/2015,Quarter3,finishing ,Wednesday,1,0.65,3.94,,2400,0,0.0,0,0,8.0,0.505128205
1/21/2015,Quarter3,finishing ,Wednesday,11,0.7,4.15,,2700,0,0.0,0,0,9.0,0.470769231
1/22/2015,Quarter4,finishing ,Thursday,7,0.6,3.94,,6000,0,0.0,0,0,10.0,0.957638889
1/22/2015,Quarter4,finishing ,Thursday,10,0.75,3.94,,8400,0,0.0,0,0,14.0,0.9407010579999999
1/22/2015,Quarter4,sweing,Thursday,4,0.75,22.52,759.0,10080,81,0.0,0,0,56.0,0.8499837659999999
1/22/2015,Quarter4,sweing,Thursday,6,0.8,11.61,955.0,6360,63,0.0,0,0,32.0,0.8001919890000001
1/22/2015,Quarter4,sweing,Thursday,10,0.75,22.52,1328.0,10080,55,0.0,0,0,56.0,0.800020563
1/22/2015,Quarter4,sweing,Thursday,1,0.7,22.94,1384.0,12180,63,0.0,0,0,57.0,0.750162367
1/22/2015,Quarter4,sweing,Thursday,3,0.7,22.52,1244.0,10260,63,0.0,0,0,57.0,0.750068049
1/22/2015,Quarter4,finishing ,Thursday,5,0.7,4.15,,9000,0,0.0,0,0,15.0,0.742901235
1/22/2015,Quarter4,sweing,Thursday,5,0.7,20.4,1480.0,10440,40,0.0,0,0,58.0,0.7002507840000001
